startLocation,stopLocation,firstTimestampUTC,bookingStartTimestampUTC,bookingStopTimestampUTC,bookingType,model,idleDuration
"[45.454343333333334,9.15873611111111,null],""[45.479015555555556,9.169295555555555,null]"",2018-07-10 15:26:35.236,2018-07-10 15:29:47.319,2018-07-10 15:42:14.663,FASTLANE,MODEL_I3,10059157"
"[45.491059444444446,9.212782777777777,null],""[45.48532083333333,9.18209,null]"",2018-07-10 15:09:42.714,2018-07-10 15:10:28.7,2018-07-10 17:11:52.559,FASTLANE,MODEL_I3,3269855"
"[45.45940777777778,9.159709722222223,null],""[45.4419175,9.1788375,null]"",2018-07-10 15:09:05.416,2018-07-10 15:10:35.742,2018-07-10 15:29:11.198,FASTLANE,MODEL_I3,2987504"
"[45.46243888888889,9.277006111111112,null],""[45.47789972222222,9.183069722222223,null]"",2018-07-10 15:07:01.657,2018-07-10 15:21:14.604,2018-07-10 15:53:10.981,FASTLANE,MODEL_I3,3569454"
"[45.48523388888889,9.164754444444444,null],""[45.47750472222222,9.171218055555556,null]"",2018-07-10 15:05:17.472,2018-07-10 15:19:33.837,2018-07-10 15:28:26.217,FASTLANE,MODEL_I3,4815867"
"[45.48497916666667,9.194640833333333,null],""[45.474221944444444,9.193338333333333,null]"",2018-07-10 15:04:36.029,2018-07-10 15:15:33.224,2018-07-10 15:25:26.702,FASTLANE,MODEL_I3,3317371"
"[45.45218833333333,9.1820575,null],""[45.45274583333333,9.164475555555555,null]"",2018-07-10 15:02:20.267,2018-07-10 15:10:20.29,2018-07-10 15:20:29.281,FASTLANE,MODEL_I3,null"
"[45.45990722222222,9.180370277777778,null],""[45.454343055555555,9.158736388888888,null]"",2018-07-10 14:34:30.607,2018-07-10 14:40:24.863,2018-07-10 14:49:26.798,FASTLANE,MODEL_I3,2420521"
"[45.45415222222222,9.163871944444445,null],""[45.45218833333333,9.1820575,null]"",2018-07-10 14:33:25.745,2018-07-10 14:40:54.352,2018-07-10 14:57:53.658,FASTLANE,MODEL_I3,746632"
"[45.477045833333335,9.198575833333333,null],""[45.48523055555555,9.164758611111111,null]"",2018-07-10 14:32:07.994,2018-07-10 14:40:07.817,2018-07-10 15:03:42.144,FASTLANE,MODEL_I3,951693"
"[45.448209166666665,9.164817777777778,null],""[45.43218611111111,9.205211666666667,null]"",2018-07-10 14:27:17.038,2018-07-10 14:33:34.294,2018-07-10 14:54:55.384,FASTLANE,MODEL_I3,null"
"[45.485193611111114,9.194847222222222,null],""[45.46243888888889,9.277006111111112,null]"",2018-07-10 14:13:58.46,2018-07-10 14:14:59.706,2018-07-10 14:55:37.183,FASTLANE,MODEL_I3,1537421"
"[45.43900111111111,9.195688888888888,null],""[45.448209166666665,9.1648175,null]"",2018-07-10 13:58:23.682,2018-07-10 14:03:54.759,2018-07-10 14:21:28.741,FASTLANE,MODEL_I3,725553"
"[45.444490555555554,9.208466111111111,null],""[45.45415305555556,9.16387361111111,null]"",2018-07-10 13:54:48.362,2018-07-10 13:55:10.946,2018-07-10 14:30:36.032,FASTLANE,MODEL_I3,618320"
"[45.45383361111111,9.16291388888889,null],""[45.44806861111111,9.145158888888888,null]"",2018-07-10 13:52:30.739,2018-07-10 13:55:01.057,2018-07-10 14:00:51.59,FASTLANE,MODEL_I3,null"
"[45.49886444444444,9.181461944444445,null],""[45.491058333333335,9.212781944444444,null]"",2018-07-10 13:52:02.547,2018-07-10 13:56:58.339,2018-07-10 14:11:19.256,FASTLANE,MODEL_I3,3549444"
"[45.43922555555555,9.215968333333333,null],""[45.45504777777778,9.1921925,null]"",2018-07-10 13:48:22.243,2018-07-10 14:07:55.706,2018-07-10 15:22:55.776,FASTLANE,MODEL_I3,472130"
"[45.44685333333334,9.156046388888889,null],""[45.4894775,9.220702777777777,null]"",2018-07-10 13:45:42.423,2018-07-10 14:02:24.834,2018-07-10 14:41:18.203,FASTLANE,MODEL_I3,16305073"
"[45.47494388888889,9.126233333333333,null],""[45.45990694444444,9.180369166666667,null]"",2018-07-10 13:41:23.648,2018-07-10 13:56:44.485,2018-07-10 14:24:31.376,FASTLANE,MODEL_I3,953487"
"[45.463521666666665,9.183773333333333,null],""[45.459408055555556,9.159709722222223,null]"",2018-07-10 13:41:00.449,2018-07-10 13:52:52.143,2018-07-10 14:06:13.505,FASTLANE,MODEL_I3,3862237"
"[45.45495944444444,9.213849722222223,null],""[45.50627638888889,9.227264444444444,null]"",2018-07-10 13:40:15.85,2018-07-10 13:41:43.296,2018-07-10 14:03:38.916,FASTLANE,MODEL_I3,6261055"
"[45.447851388888886,9.209251111111111,null],""[45.45495972222222,9.213849722222223,null]"",2018-07-10 13:27:40.791,2018-07-10 13:28:43.667,2018-07-10 13:37:19.78,CLASSIC,MODEL_I3,263516"
"[45.475346944444446,9.185032777777778,null],""[45.46346527777778,9.183660555555555,null]"",2018-07-10 13:21:55.491,2018-07-10 13:22:34.094,2018-07-10 13:40:01.741,FASTLANE,MODEL_I3,770402"
"[45.458461666666665,9.132280555555555,null],""[45.486802777777775,9.135043055555556,null]"",2018-07-10 13:01:58.312,2018-07-10 13:02:23.628,2018-07-10 13:18:00.583,FASTLANE,MODEL_I3,13543690"
"[45.461351111111114,9.245660833333334,null],""[45.44685277777778,9.156046666666667,null]"",2018-07-10 12:28:09.661,2018-07-10 12:43:03.151,2018-07-10 13:18:28.756,FASTLANE,MODEL_I3,2636078"
"[45.469453333333334,9.204973888888889,null],""[45.475346944444446,9.185032777777778,null]"",2018-07-10 12:09:26.293,2018-07-10 12:17:54.924,2018-07-10 12:27:18.961,FASTLANE,MODEL_I3,3315133"
"[45.47752444444444,9.201758611111112,null],""[45.469452777777775,9.204969722222222,null]"",2018-07-10 11:57:23.52,2018-07-10 11:57:23.52,2018-07-10 12:07:10.631,FASTLANE,MODEL_I3,644293"
"[45.486779722222224,9.135166944444444,null],""[45.45846138888889,9.132280555555555,null]"",2018-07-10 11:21:51.276,2018-07-10 11:35:32.243,2018-07-10 11:52:15.865,FASTLANE,MODEL_I3,4207763"
"[45.475410277777776,9.207668055555555,null],""[45.45383361111111,9.162914166666667,null]"",2018-07-10 10:41:24.501,2018-07-10 10:58:29.02,2018-07-10 11:24:57.716,FASTLANE,MODEL_I3,9003341"
"[45.48182416666667,9.18469,null],""[45.47752444444444,9.201758611111112,null]"",2018-07-10 10:19:01.24,2018-07-10 10:33:28.2,2018-07-10 10:44:43.968,FASTLANE,MODEL_I3,4359552"
"[45.45303972222222,9.179419166666667,null],""[45.475410277777776,9.207668055555555,null]"",2018-07-10 09:55:25.364,2018-07-10 10:01:12.368,2018-07-10 10:16:55.173,FASTLANE,MODEL_I3,2493847"
"[45.48326055555555,9.170024722222223,null],""[45.44449027777778,9.208466111111111,null]"",2018-07-10 09:11:42.983,2018-07-10 09:12:18.68,2018-07-10 09:40:28.27,FASTLANE,MODEL_I3,15282676"
"[45.483204444444446,9.171038333333334,null],""[45.48182388888889,9.184689722222222,null]"",2018-07-10 08:58:12.412,2018-07-10 08:59:08.473,2018-07-10 09:14:02.415,FASTLANE,MODEL_I3,4765785"
"[45.47804694444444,9.211735833333334,null],""[45.45303972222222,9.179419722222223,null]"",2018-07-10 08:49:25.782,2018-07-10 09:05:22.726,2018-07-10 09:31:32.805,FASTLANE,MODEL_I3,1779563"
"[45.49892777777778,9.129550555555555,null],""[45.48326111111111,9.170025277777778,null]"",2018-07-10 08:27:44.782,2018-07-10 08:32:08.005,2018-07-10 08:59:24.727,FASTLANE,MODEL_I3,773953"
"[45.47396555555556,9.208482777777778,null],""[45.483204722222226,9.171038333333334,null]"",2018-07-10 07:45:46.7,2018-07-10 08:05:40.85,2018-07-10 08:22:10.214,FASTLANE,MODEL_I3,2218259"
"[45.46333527777778,9.177472222222223,null],""[45.47804388888889,9.211732777777778,null]"",2018-07-10 07:43:46.975,2018-07-10 07:52:05.769,2018-07-10 08:15:01.84,FASTLANE,MODEL_I3,3020886"
"[45.442749722222224,9.194789444444444,null],""[45.43922583333333,9.215969444444445,null]"",2018-07-10 07:24:35.876,2018-07-10 07:31:42.506,2018-07-10 07:44:23.438,FASTLANE,MODEL_I3,23012268"
